time,open,high,low,close,Volume,Volume MA
1567058400,1.4871,1.4885,1.4814,1.4816,569,543.5
1567072800,1.4814,1.484,1.4804,1.4833,559,543.2
1567087200,1.483,1.4864,1.4828,1.4851,561,542.35
1567101600,1.4848,1.4866,1.4848,1.4852,474,537.85
1567116000,1.4856,1.4908,1.4842,1.4892,547,538.45
1567130400,1.4889,1.4906,1.488,1.4884,548,540.35
1567144800,1.4882,1.4902,1.4867,1.4876,558,541.95
1567159200,1.4875,1.4881,1.4842,1.4846,530,540.6
1567173600,1.4843,1.4883,1.4833,1.4883,562,540.65
1567188000,1.4881,1.4883,1.4834,1.4839,435,534.3
1567375200,1.4865,1.4881,1.4845,1.4857,561,534.45
1567389600,1.4854,1.4869,1.485,1.4864,524,537
1567404000,1.4861,1.4878,1.4852,1.487,545,537.55
1567418400,1.4868,1.4901,1.4866,1.4897,530,536.05
1567432800,1.4892,1.4897,1.4857,1.489,481,533.2
1567447200,1.489,1.4891,1.4874,1.4884,396,525.25
1567461600,1.4882,1.4923,1.4881,1.4917,539,524.6
1567476000,1.4915,1.4951,1.4876,1.4882,564,528.15
1567490400,1.488,1.4887,1.4856,1.4873,552,528.65
1567504800,1.4869,1.4875,1.4838,1.484,555,529.5
1567519200,1.4839,1.4839,1.4787,1.4787,548,528.45
1567533600,1.4786,1.4801,1.4781,1.4799,496,525.3
1567548000,1.4798,1.4801,1.4744,1.4745,543,524.4
1567562400,1.4742,1.4767,1.4738,1.4761,556,528.5
1567576800,1.4759,1.4766,1.472,1.4735,567,529.5
1567591200,1.4732,1.4741,1.472,1.4735,547,529.45
1567605600,1.4732,1.4736,1.47,1.4715,558,529.45
1567620000,1.4713,1.4718,1.4701,1.4712,493,527.6
1567634400,1.4711,1.4715,1.4653,1.4663,552,527.1
1567648800,1.466,1.4675,1.4648,1.4668,559,533.3
1567663200,1.4667,1.4688,1.4665,1.4674,569,533.7
1567677600,1.4672,1.4677,1.464,1.4643,556,535.3
1567692000,1.4649,1.4686,1.4647,1.4667,546,535.35
1567706400,1.4664,1.4675,1.4661,1.4675,490,533.35
1567720800,1.4672,1.4688,1.4666,1.4682,543,536.45
1567735200,1.468,1.4683,1.4651,1.4655,543,543.8
1567749600,1.4653,1.4665,1.462,1.4626,560,544.85
1567764000,1.4623,1.4639,1.459,1.4596,564,544.85
1567778400,1.4594,1.4609,1.4571,1.4585,569,545.7
1567792800,1.4583,1.4608,1.4583,1.4603,398,537.85
1567980000,1.4603,1.4623,1.4595,1.4606,550,537.95
1567994400,1.4604,1.4608,1.4576,1.4576,530,539.65
1568008800,1.4573,1.4587,1.4552,1.4553,557,540.35
1568023200,1.4551,1.4564,1.4548,1.4557,546,539.85
1568037600,1.4555,1.4564,1.4541,1.4553,558,539.4
1568052000,1.455,1.4575,1.455,1.4562,484,536.25
1568066400,1.4562,1.4588,1.4556,1.4584,542,535.45
1568080800,1.4581,1.4595,1.4571,1.4576,527,537.15
1568095200,1.4574,1.4591,1.4555,1.4575,558,537.45
1568109600,1.4572,1.4599,1.4571,1.4595,557,537.35
1568124000,1.4592,1.4595,1.455,1.4563,548,536.3
1568138400,1.4561,1.4581,1.456,1.4571,462,531.6
1568152800,1.4569,1.4599,1.4566,1.459,537,531.15
1568167200,1.4589,1.459,1.4524,1.4545,570,535.15
1568181600,1.4542,1.4573,1.4537,1.4558,523,534.15
1568196000,1.4556,1.4578,1.455,1.4571,547,534.35
1568210400,1.4568,1.4584,1.4568,1.4575,547,533.7
1568224800,1.4572,1.4578,1.4564,1.4569,433,527.15
1568239200,1.4566,1.4574,1.453,1.4549,510,524.2
1568253600,1.4549,1.4559,1.4518,1.4531,534,531
1568268000,1.4529,1.4533,1.4516,1.4528,488,527.9
1568282400,1.4526,1.4569,1.4524,1.4541,557,529.25
1568296800,1.454,1.456,1.4503,1.4546,566,529.7
1568311200,1.4543,1.4573,1.4541,1.4561,500,527.4
1568325600,1.4561,1.4577,1.4543,1.4552,521,525.55
1568340000,1.4552,1.4562,1.4543,1.4548,539,528.3
1568354400,1.4546,1.4558,1.4528,1.4543,557,529.05
1568368800,1.4541,1.4565,1.4527,1.4534,551,530.25
1568383200,1.4532,1.4546,1.4504,1.4521,553,530
1568397600,1.4517,1.4539,1.4513,1.4533,419,523.1
1568584800,1.4561,1.4562,1.4523,1.4543,563,523.85
1568599200,1.4537,1.4558,1.4532,1.4545,540,527.75
1568613600,1.4543,1.4559,1.4522,1.453,551,528.45
1568628000,1.4528,1.4584,1.4527,1.4581,550,527.45
1568642400,1.4579,1.4588,1.456,1.4572,561,529.35
1568656800,1.4571,1.4574,1.4552,1.4568,442,524.1
1568671200,1.4563,1.4607,1.455,1.4604,518,522.65
1568685600,1.4602,1.4632,1.4602,1.4616,555,528.75
1568700000,1.4614,1.4638,1.4605,1.4631,563,531.4
1568714400,1.4628,1.4636,1.4604,1.4607,545,531.95
1568728800,1.4605,1.4614,1.4559,1.4567,552,535.15
1568743200,1.4563,1.4573,1.4547,1.4559,482,531.4
1568757600,1.4557,1.4594,1.4554,1.4592,533,529.75
1568772000,1.459,1.4607,1.4588,1.4599,548,532.15
1568786400,1.4596,1.4642,1.4593,1.463,559,534.05
1568800800,1.4629,1.4635,1.4601,1.462,535,533.85
1568815200,1.4617,1.4622,1.4578,1.4588,552,533.6
1568829600,1.4588,1.4676,1.4588,1.4638,526,532.35
1568844000,1.4638,1.4726,1.4633,1.4719,547,532.05
1568858400,1.4717,1.4743,1.4707,1.4727,550,538.6
1568872800,1.4725,1.4746,1.4706,1.4714,549,537.9
1568887200,1.4711,1.4732,1.4693,1.4699,544,538.1
1568901600,1.4696,1.4718,1.4684,1.4685,539,537.5
1568916000,1.4683,1.4723,1.4683,1.4712,499,534.95
1568930400,1.4712,1.475,1.471,1.4735,542,534
1568944800,1.4733,1.474,1.4698,1.4703,502,537
1568959200,1.4701,1.4726,1.4684,1.472,555,538.85
1568973600,1.4716,1.4753,1.4713,1.4751,556,538.9
1568988000,1.4749,1.4789,1.4747,1.4782,551,538.3
1569002400,1.478,1.4789,1.4769,1.4769,407,531.4
1569189600,1.4771,1.4779,1.4756,1.4764,539,530.75
1569204000,1.4762,1.4766,1.4744,1.4752,525,532.9
1569218400,1.4749,1.4778,1.4748,1.4768,551,533.8
1569232800,1.4766,1.4777,1.4756,1.4767,546,533.7
1569247200,1.4766,1.4774,1.4751,1.4768,550,533.25
1569261600,1.4765,1.4771,1.475,1.4752,504,531.7
1569276000,1.4752,1.4779,1.475,1.4777,556,531.9
1569290400,1.4776,1.4778,1.4739,1.4747,538,532.5
1569304800,1.4745,1.4767,1.4732,1.4739,555,532.9
1569319200,1.4736,1.4741,1.4692,1.471,557,533.25
1569333600,1.4708,1.4728,1.4693,1.4709,548,533.2
1569348000,1.4707,1.4718,1.4697,1.4706,507,531.35
1569362400,1.4704,1.4738,1.4697,1.4737,539,531.35
1569376800,1.4733,1.4749,1.4697,1.4745,563,534.55
1569391200,1.4742,1.4762,1.4737,1.4751,566,535.75
1569405600,1.4749,1.4817,1.4745,1.4815,550,538.15
1569420000,1.4814,1.4835,1.4803,1.4806,546,537.7
1569434400,1.4803,1.4816,1.4796,1.4808,500,534.9
1569448800,1.4808,1.4819,1.479,1.4812,518,533.25
1569463200,1.4811,1.4817,1.4781,1.4812,565,541.15
1569477600,1.481,1.4815,1.4788,1.4795,551,541.75
1569492000,1.4793,1.4795,1.4746,1.4759,556,543.3
1569506400,1.4758,1.4814,1.4758,1.4814,568,544.15
1569520800,1.4811,1.4821,1.48,1.4817,440,538.85
1569535200,1.4814,1.4825,1.4798,1.4812,448,533.75
1569549600,1.481,1.481,1.4782,1.4788,515,534.3
1569564000,1.4785,1.4804,1.4782,1.4795,553,534.15
1569578400,1.4794,1.482,1.4771,1.4772,554,534.95
1569592800,1.477,1.4804,1.475,1.4792,570,535.7
1569607200,1.479,1.4793,1.4771,1.4777,427,529.2
1569794400,1.4778,1.4803,1.477,1.4783,532,528.4
1569808800,1.4781,1.4818,1.4778,1.4818,520,529.05
1569823200,1.4816,1.4822,1.4794,1.4808,552,529.7
1569837600,1.4806,1.4817,1.4785,1.479,572,530.15
1569852000,1.4788,1.4831,1.478,1.4815,570,530.35
1569866400,1.4812,1.4817,1.4804,1.4813,491,527.4
1569880800,1.4812,1.4836,1.4792,1.4832,516,525.9
1569895200,1.4828,1.491,1.4787,1.4907,553,528.55
1569909600,1.4904,1.4936,1.4901,1.4922,574,531.35
1569924000,1.4919,1.4985,1.4909,1.4985,574,531.8
1569938400,1.4982,1.4982,1.4911,1.492,571,532.8
1569952800,1.4918,1.4928,1.4908,1.4918,501,530.05
1569967200,1.4916,1.4922,1.4884,1.4891,556,529.45
1569981600,1.489,1.4898,1.488,1.4894,550,534.95
1569996000,1.4891,1.4987,1.4891,1.4964,564,540.75
1570010400,1.4963,1.4975,1.4933,1.4937,579,543.95
1570024800,1.4935,1.4942,1.4913,1.4924,571,544.85
1570039200,1.4922,1.4925,1.4903,1.4912,503,542.3
1570053600,1.4911,1.4914,1.4888,1.4904,552,541.4
1570068000,1.4901,1.4903,1.4877,1.4888,556,547.85
1570082400,1.4887,1.4916,1.4862,1.4891,560,549.25
1570096800,1.4889,1.4895,1.4856,1.4862,571,551.8
1570111200,1.486,1.486,1.4806,1.4811,572,552.8
1570125600,1.481,1.4836,1.481,1.4826,520,550.2
1570140000,1.4824,1.4835,1.4797,1.481,549,549.15
1570154400,1.4809,1.4815,1.4792,1.4804,554,552.3
1570168800,1.4803,1.4813,1.4786,1.4803,567,554.85
1570183200,1.4801,1.4824,1.4774,1.4779,579,556.15
1570197600,1.4776,1.4791,1.476,1.4764,567,555.8
1570212000,1.4764,1.4779,1.476,1.4772,414,547.8
1570399200,1.4785,1.4806,1.4778,1.4799,552,546.85
1570413600,1.4796,1.482,1.4796,1.4814,546,549.1
1570428000,1.4812,1.485,1.48,1.4839,565,549.55
1570442400,1.4837,1.4852,1.4815,1.482,561,550.1
1570456800,1.482,1.4848,1.481,1.4828,562,550
1570471200,1.4825,1.4857,1.4825,1.485,501,546.1
1570485600,1.4849,1.486,1.4831,1.4834,555,545.3
1570500000,1.4832,1.4838,1.4806,1.4812,529,546.6
1570514400,1.4811,1.4825,1.4797,1.4813,557,546.85
1570528800,1.4811,1.4842,1.4811,1.4833,579,548
1570543200,1.4831,1.4871,1.483,1.4856,561,548.05
1570557600,1.4854,1.4867,1.4849,1.4859,524,545.7
1570572000,1.4858,1.487,1.4837,1.4839,539,544.05
1570586400,1.4836,1.4845,1.4825,1.4841,512,543.65
1570600800,1.4837,1.4854,1.4815,1.4818,554,543.9
1570615200,1.4817,1.4837,1.4813,1.4837,551,543.75
1570629600,1.4835,1.4866,1.4832,1.4852,544,542.6
1570644000,1.4851,1.4874,1.4849,1.487,476,537.45
1570658400,1.4869,1.49,1.4797,1.4834,574,537.8
1570672800,1.4834,1.4838,1.4812,1.4817,533,543.75
1570687200,1.4815,1.4827,1.4776,1.4776,571,544.7
1570701600,1.4775,1.4816,1.477,1.4792,562,545.5
1570716000,1.4789,1.4803,1.4758,1.4771,571,545.8
1570730400,1.4769,1.4792,1.4766,1.4786,511,543.3
1570744800,1.4785,1.4805,1.4761,1.4764,542,542.3
1570759200,1.476,1.4767,1.4741,1.4756,539,544.2
1570773600,1.4754,1.4766,1.4715,1.4722,568,544.85
1570788000,1.472,1.4725,1.4692,1.4703,568,546.8
1570802400,1.47,1.4725,1.4678,1.4711,574,547.65
1570816800,1.4709,1.4728,1.4695,1.4726,423,539.85
1571004000,1.4713,1.4765,1.4706,1.474,547,539.15
1571018400,1.4738,1.4752,1.4721,1.4737,557,540.8
1571032800,1.4735,1.4805,1.4734,1.4799,559,541.8
1571047200,1.4796,1.481,1.4793,1.4798,548,543.6
1571061600,1.4797,1.4804,1.4748,1.4758,538,542.8
1571076000,1.4755,1.4765,1.475,1.4753,472,538.85
1571090400,1.4751,1.4777,1.4727,1.4738,537,538.5
1571104800,1.4736,1.4767,1.4731,1.4762,522,540.8
1571119200,1.4759,1.4789,1.4753,1.4778,570,540.6
1571133600,1.4778,1.4829,1.4774,1.4827,568,542.35
1571148000,1.4824,1.4828,1.4771,1.4797,580,542.8
1571162400,1.4795,1.4816,1.4789,1.4804,537,541.55
1571176800,1.4803,1.4863,1.4799,1.4843,556,540.8
1571191200,1.4841,1.4856,1.4834,1.4839,549,542.7
1571205600,1.4839,1.4854,1.4823,1.4838,577,544.45
1571220000,1.4836,1.4871,1.4834,1.4853,564,545.7
1571234400,1.4851,1.4858,1.4776,1.4794,568,545.7
1571248800,1.4792,1.4805,1.478,1.48,520,543.3
1571263200,1.4799,1.4806,1.4724,1.4733,560,542.6
1571277600,1.473,1.4741,1.4726,1.474,545,548.7
1571292000,1.4739,1.4756,1.4643,1.465,570,549.85
1571306400,1.4646,1.4672,1.4632,1.464,583,551.15
1571320800,1.4638,1.467,1.4638,1.4651,497,548.05
1571335200,1.4649,1.4656,1.464,1.4643,507,546
1571349600,1.4641,1.4658,1.462,1.4648,550,546.6
1571364000,1.4648,1.4648,1.4624,1.4642,561,551.05
1571378400,1.464,1.4643,1.4616,1.4628,561,552.25
1571392800,1.4626,1.4631,1.4594,1.4599,565,554.4
1571407200,1.4597,1.4621,1.4589,1.4596,570,554.4
1571421600,1.4593,1.4598,1.4569,1.4579,403,546.15
1571608800,1.4592,1.4616,1.4573,1.458,864,560.35
1571623200,1.4578,1.4583,1.4562,1.4578,799,573.45
1571637600,1.4576,1.458,1.4531,1.4535,849,588.1
