time,open,high,low,close,MA,Volume,Volume MA
1567677600,1.4672,1.4677,1.464,1.4643,1.470066666666661,556,535.3
1567692000,1.4649,1.4686,1.4647,1.4667,1.4690222222222167,546,535.35
1567706400,1.4664,1.4675,1.4661,1.4675,1.4683555555555499,490,533.35
1567720800,1.4672,1.4688,1.4666,1.4682,1.4677666666666611,543,536.45
1567735200,1.468,1.4683,1.4651,1.4655,1.4670999999999945,543,543.8
1567749600,1.4653,1.4665,1.462,1.4626,1.466144444444439,560,544.85
1567764000,1.4623,1.4639,1.459,1.4596,1.4653999999999945,564,544.85
1567778400,1.4594,1.4609,1.4571,1.4585,1.4644777777777722,569,545.7
1567792800,1.4583,1.4608,1.4583,1.4603,1.4636888888888833,398,537.85
1567980000,1.4603,1.4623,1.4595,1.4606,1.4632777777777721,550,537.95
1567994400,1.4604,1.4608,1.4576,1.4576,1.4622666666666613,530,539.65
1568008800,1.4573,1.4587,1.4552,1.4553,1.4609111111111057,557,540.35
1568023200,1.4551,1.4564,1.4548,1.4557,1.4595222222222166,546,539.85
1568037600,1.4555,1.4564,1.4541,1.4553,1.4583888888888834,558,539.4
1568052000,1.455,1.4575,1.455,1.4562,1.4576777777777723,484,536.25
1568066400,1.4562,1.4588,1.4556,1.4584,1.457544444444439,542,535.45
1568080800,1.4581,1.4595,1.4571,1.4576,1.457444444444439,527,537.15
1568095200,1.4574,1.4591,1.4555,1.4575,1.4571333333333278,558,537.45
1568109600,1.4572,1.4599,1.4571,1.4595,1.4570111111111055,557,537.35
1568124000,1.4592,1.4595,1.455,1.4563,1.456866666666661,548,536.3
1568138400,1.4561,1.4581,1.456,1.4571,1.457066666666661,462,531.6
1568152800,1.4569,1.4599,1.4566,1.459,1.4574333333333276,537,531.15
1568167200,1.4589,1.459,1.4524,1.4545,1.4573444444444388,570,535.15
1568181600,1.4542,1.4573,1.4537,1.4558,1.4572999999999943,523,534.15
1568196000,1.4556,1.4578,1.455,1.4571,1.45715555555555,547,534.35
1568210400,1.4568,1.4584,1.4568,1.4575,1.457144444444439,547,533.7
1568224800,1.4572,1.4578,1.4564,1.4569,1.4570777777777721,433,527.15
1568239200,1.4566,1.4574,1.453,1.4549,1.4565666666666612,510,524.2
1568253600,1.4549,1.4559,1.4518,1.4531,1.4562111111111058,534,531
1568268000,1.4529,1.4533,1.4516,1.4528,1.4557333333333282,488,527.9
1568282400,1.4526,1.4569,1.4524,1.4541,1.4551888888888835,557,529.25
1568296800,1.454,1.456,1.4503,1.4546,1.4551999999999947,566,529.7
1568311200,1.4543,1.4573,1.4541,1.4561,1.455233333333328,500,527.4
1568325600,1.4561,1.4577,1.4543,1.4552,1.4550222222222169,521,525.55
1568340000,1.4552,1.4562,1.4543,1.4548,1.454722222222217,539,528.3
1568354400,1.4546,1.4558,1.4528,1.4543,1.454433333333328,557,529.05
1568368800,1.4541,1.4565,1.4527,1.4534,1.4542666666666613,551,530.25
1568383200,1.4532,1.4546,1.4504,1.4521,1.4541555555555503,553,530
1568397600,1.4517,1.4539,1.4513,1.4533,1.4542111111111058,419,523.1
1568584800,1.4561,1.4562,1.4523,1.4543,1.454233333333328,563,523.85
1568599200,1.4537,1.4558,1.4532,1.4545,1.4542222222222168,540,527.75
1568613600,1.4543,1.4559,1.4522,1.453,1.4538777777777723,551,528.45
1568628000,1.4528,1.4584,1.4527,1.4581,1.4541999999999946,550,527.45
1568642400,1.4579,1.4588,1.456,1.4572,1.454466666666661,561,529.35
1568656800,1.4571,1.4574,1.4552,1.4568,1.454744444444439,442,524.1
1568671200,1.4563,1.4607,1.455,1.4604,1.4555222222222168,518,522.65
1568685600,1.4602,1.4632,1.4602,1.4616,1.4565777777777724,555,528.75
1568700000,1.4614,1.4638,1.4605,1.4631,1.4576666666666613,563,531.4
1568714400,1.4628,1.4636,1.4604,1.4607,1.4583777777777724,545,531.95
1568728800,1.4605,1.4614,1.4559,1.4567,1.4586222222222167,552,535.15
1568743200,1.4563,1.4573,1.4547,1.4559,1.458944444444439,482,531.4
1568757600,1.4557,1.4594,1.4554,1.4592,1.4590666666666614,533,529.75
1568772000,1.459,1.4607,1.4588,1.4599,1.4593666666666614,548,532.15
1568786400,1.4596,1.4642,1.4593,1.463,1.46005555555555,559,534.05
1568800800,1.4629,1.4635,1.4601,1.462,1.460233333333328,535,533.85
1568815200,1.4617,1.4622,1.4578,1.4588,1.4599222222222168,552,533.6
1568829600,1.4588,1.4676,1.4588,1.4638,1.4599999999999946,526,532.35
1568844000,1.4638,1.4726,1.4633,1.4719,1.4612444444444388,547,532.05
1568858400,1.4717,1.4743,1.4707,1.4727,1.4630222222222167,550,538.6
1568872800,1.4725,1.4746,1.4706,1.4714,1.464744444444439,549,537.9
1568887200,1.4711,1.4732,1.4693,1.4699,1.4659333333333278,544,538.1
1568901600,1.4696,1.4718,1.4684,1.4685,1.4668888888888831,539,537.5
1568916000,1.4683,1.4723,1.4683,1.4712,1.4677999999999942,499,534.95
1568930400,1.4712,1.475,1.471,1.4735,1.4690777777777722,542,534
1568944800,1.4733,1.474,1.4698,1.4703,1.4703555555555499,502,537
1568959200,1.4701,1.4726,1.4684,1.472,1.471266666666661,555,538.85
1568973600,1.4716,1.4753,1.4713,1.4751,1.4716222222222166,556,538.9
1568988000,1.4749,1.4789,1.4747,1.4782,1.4722333333333277,551,538.3
1569002400,1.478,1.4789,1.4769,1.4769,1.4728444444444388,407,531.4
1569189600,1.4771,1.4779,1.4756,1.4764,1.4735666666666611,539,530.75
1569204000,1.4762,1.4766,1.4744,1.4752,1.4743111111111058,525,532.9
1569218400,1.4749,1.4778,1.4748,1.4768,1.474933333333328,551,533.8
1569232800,1.4766,1.4777,1.4756,1.4767,1.4752888888888835,546,533.7
1569247200,1.4766,1.4774,1.4751,1.4768,1.4760111111111056,550,533.25
1569261600,1.4765,1.4771,1.475,1.4752,1.4763666666666613,504,531.7
1569276000,1.4752,1.4779,1.475,1.4777,1.47665555555555,556,531.9
