time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,K,D
1567058400,1.4871,1.4885,1.4814,1.4816,1.4810149999999962,1.4877861963558752,1.4742438036441172,569,543.5,68.80606209341585,86.51449491303065
1567072800,1.4814,1.484,1.4804,1.4833,1.480924999999996,1.4875222342757584,1.4743277657242337,559,543.2,44.630005121763105,70.55042997820595
1567087200,1.483,1.4864,1.4828,1.4851,1.481234999999996,1.4880029465194198,1.4744670534805724,561,542.35,27.35876755606668,46.93161159041494
1567101600,1.4848,1.4866,1.4848,1.4852,1.4815799999999961,1.4884174264229886,1.4747425735770037,474,537.85,40.50434852774122,37.4977070685234
1567116000,1.4856,1.4908,1.4842,1.4892,1.482309999999996,1.4891281815824404,1.4754918184175516,547,538.45,61.34660795484894,43.06990801288534
1567130400,1.4889,1.4906,1.488,1.4884,1.482944999999996,1.4895445378696945,1.4763454621302974,548,540.35,70.56761515926182,57.472857213950384
1567144800,1.4882,1.4902,1.4867,1.4876,1.4834999999999963,1.489692576207777,1.4773074237922155,558,541.95,75.8215831542584,69.24526875612277
1567159200,1.4875,1.4881,1.4842,1.4846,1.483739999999996,1.4897083833734681,1.477771616626524,530,540.6,50.10315105161573,65.49744978837838
1567173600,1.4843,1.4883,1.4833,1.4883,1.484209999999996,1.4900590683096961,1.478360931690296,562,540.65,43.567230960337184,56.497321722070154
1567188000,1.4881,1.4883,1.4834,1.4839,1.484494999999996,1.4896604525545942,1.4793295474453976,435,534.3,23.028286566917032,38.89955619295636
1567375200,1.4865,1.4881,1.4845,1.4857,1.484794999999996,1.4894868972807391,1.480103102719253,561,534.45,25.348672731286154,30.648063419513175
1567389600,1.4854,1.4869,1.485,1.4864,1.485069999999996,1.4894509131575544,1.4806890868424374,524,537,15.72932647790284,21.368761925368393
1567404000,1.4861,1.4878,1.4852,1.487,1.485314999999996,1.489549749118265,1.481080250881727,545,537.55,27.077656816679053,22.718552008622396
1567418400,1.4868,1.4901,1.4866,1.4897,1.485589999999996,1.490197341977263,1.480982658022729,530,536.05,43.509306948746065,28.772096747775706
1567432800,1.4892,1.4897,1.4857,1.489,1.4859149999999959,1.4905216365275205,1.4813083634724713,481,533.2,53.52918783139891,41.37205053227439
1567447200,1.489,1.4891,1.4874,1.4884,1.486199999999996,1.4906792856681477,1.4817207143318443,396,525.25,57.924968750294006,51.65448784347938
1567461600,1.4882,1.4923,1.4881,1.4917,1.486629999999996,1.4914727678136126,1.4817872321863792,539,524.6,63.48222072230478,58.31212576799894
1567476000,1.4915,1.4951,1.4876,1.4882,1.4868299999999959,1.4915844084908065,1.4820755915091852,564,528.15,54.16291865902752,58.52336937720849
1567490400,1.488,1.4887,1.4856,1.4873,1.4868899999999958,1.4916363249042208,1.4821436750957708,552,528.65,44.76461745694812,54.13658561275986
1567504800,1.4869,1.4875,1.4838,1.484,1.4867299999999959,1.491636770842079,1.4818232291579128,555,529.5,16.174225502355593,38.36725387277679
1567519200,1.4839,1.4839,1.4787,1.4787,1.4865849999999958,1.4922086198393696,1.480961380160622,548,528.45,6.345810055592083,22.428217671631653
1567533600,1.4786,1.4801,1.4781,1.4799,1.486414999999996,1.4926028186863312,1.480227181313661,496,525.3,3.388069222349735,8.636034926765523
1567548000,1.4798,1.4801,1.4744,1.4745,1.485884999999996,1.4939604628409175,1.4778095371590743,543,524.4,3.388069222349735,4.373982833430234
1567562400,1.4742,1.4767,1.4738,1.4761,1.485429999999996,1.4945645716974054,1.4762954283025866,556,528.5,7.186348769423925,4.654162404707515
1567576800,1.4759,1.4766,1.472,1.4735,1.4846449999999962,1.494969625905699,1.4743203740942934,567,529.5,4.06659875119286,4.88033891432189
1567591200,1.4732,1.4741,1.472,1.4735,1.4838999999999962,1.4951427754620334,1.472657224537959,547,529.45,4.334917955311371,5.195955158642435
1567605600,1.4732,1.4736,1.47,1.4715,1.4830949999999963,1.4954166029837805,1.470773397016212,558,529.45,0.5366384082371809,2.979385038246854
1567620000,1.4713,1.4718,1.4701,1.4712,1.482424999999996,1.4957618474571046,1.4690881525428876,493,527.6,0.26831920411866983,1.7132918558887906
1567634400,1.4711,1.4715,1.4653,1.4663,1.481324999999996,1.4960942755439375,1.4665557244560545,552,527.1,1.5879889995555155e-13,0.2683192041183864
1567648800,1.466,1.4675,1.4648,1.4668,1.4804699999999962,1.4964723873247625,1.4644676126752298,559,533.3,1.1526205533334997,0.4736465858171593
1567663200,1.4667,1.4688,1.4665,1.4674,1.4795549999999962,1.496330634118892,1.4627793658811004,569,533.7,4.480396035166475,1.8776721961664276
1567677600,1.4672,1.4677,1.464,1.4643,1.478449999999996,1.4961618604357183,1.4607381395642738,556,535.3,4.480396035166476,3.3711375412218665
1567692000,1.4649,1.4686,1.4647,1.4667,1.477434999999996,1.4953955428674344,1.4594744571325577,546,535.35,13.283061667295996,7.414617912542699
1567706400,1.4664,1.4675,1.4661,1.4675,1.4763249999999961,1.4938551882503355,1.4587948117496568,490,533.35,28.071092895356333,15.278183532605984
1567720800,1.4672,1.4688,1.4666,1.4682,1.475284999999996,1.492138874928149,1.458431125071843,543,536.45,50.10804989182626,30.487401484825913
